,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
IA,1.42E-07,3.02E-07,4.89E-07,7.20E-07,1.14E-06,3.21E-06,0.079171773,0.875822696,0.91857805
IB,1.42E-07,3.02E-07,4.89E-07,7.23E-07,1.23E-06,0.998996064,0.999510133,0.999705889,0.999856299
IC,1.42E-07,3.02E-07,4.89E-07,7.20E-07,1.14E-06,3.22E-06,0.102856453,0.875954808,0.918584955
ID,1.42E-07,3.02E-07,4.89E-07,7.23E-07,1.23E-06,0.999001395,0.999510113,0.999705902,0.999856302
IIA,6.40E-06,1.36E-05,2.17E-05,3.16E-05,5.21E-05,0.989362467,0.994582741,0.996566485,0.99822284
IIB,6.40E-06,1.36E-05,2.17E-05,3.18E-05,6.20E-05,0.999988826,0.999993705,0.999996292,0.999998264
IIC,2.32E-07,4.90E-07,7.91E-07,1.16E-06,1.84E-06,5.59E-06,0.852482232,0.908665663,0.941144595
IID,2.32E-07,4.90E-07,7.91E-07,1.17E-06,2.00E-06,0.999375531,0.999682101,0.999809322,0.999907282
IIIA,1.02E-07,2.19E-07,3.54E-07,5.20E-07,8.14E-07,2.12E-06,0.000131774,0.799331033,0.868668578
IIIB,1.02E-07,2.19E-07,3.54E-07,5.22E-07,8.75E-07,0.997828991,0.998989157,0.999382016,0.999691071
IIIC,1.01E-07,2.19E-07,3.54E-07,5.20E-07,8.14E-07,2.12E-06,0.000134326,0.799541517,0.868676184
IIID,1.01E-07,2.19E-07,3.54E-07,5.22E-07,8.76E-07,0.997838371,0.998989128,0.999382041,0.999691077
IVA,1,1,1,1,1,1,1,1,1
IVB,1,1,1,1,1,1,1,1,1
IVC,1,1,1,1,1,1,1,1,1
IVD,1,1,1,1,1,1,1,1,1
VA,3.22E-06,6.86E-06,1.10E-05,1.61E-05,2.68E-05,0.498173085,0.499081314,0.499354569,0.499964814
VB,3.22E-06,6.86E-06,1.10E-05,1.61E-05,2.92E-05,0.499591124,0.993489628,0.995686752,0.997630551
VC,7.82E-07,1.67E-06,2.69E-06,3.95E-06,6.42E-06,0.000111939,0.496516379,0.497343943,0.500198221
VD,7.82E-07,1.67E-06,2.69E-06,3.96E-06,6.93E-06,0.987013787,0.995848189,0.997335089,0.998577966
VIA,0.500034335,0.500097401,0.500185768,0.500301643,0.500528206,0.99960395,0.99976742,0.999855958,0.999928698
VIB,0.500001304,0.500003661,0.500007199,0.500012115,0.500020639,0.986434013,0.994381968,0.996342303,0.998026551
VIC,0.500000311,0.500000903,0.500001781,0.500003004,0.500005021,0.500018388,0.965316531,0.974897188,0.983801954
VID,0.500000312,0.500000903,0.500001781,0.500003004,0.500005023,0.500018532,0.965390561,0.974900217,0.983803325
VIIA,0.500000071,0.500000151,0.500000245,0.50000036,0.500000568,0.500001606,0.539585887,0.937911348,0.959289025
VIIB,0.500000003,0.500000006,0.500000009,0.500000013,0.500000021,0.500000045,0.500000233,0.50000486,0.500512583
VIIC,0.500000001,0.500000001,0.500000002,0.500000003,0.500000005,0.50000001,0.500000034,0.500000234,0.500004089
VIID,0.500000001,0.500000001,0.500000002,0.500000003,0.500000005,0.50000001,0.500000034,0.500000235,0.500004108
